year,code_union_type,code_union,variable,value
1987,A,3,sales.m,0
1987,A,4-2,quantity,0
1987,A,4-2,sales.m,0
1987,A,4-3,quantity,17
1987,A,4-3,sales.m,68
1987,A,4-4,quantity,0
1987,A,4-4,sales.m,0
1987,A,5,quantity,0
1987,A,5,sales.m,0
1987,A,6,quantity,0
1987,A,6,sales.m,0
1987,A,7-1,quantity,5
1987,A,7-1,sales.m,25
1987,A,7-3,quantity,0
1987,A,7-3,sales.m,0
1987,A,7-8,quantity,0
1987,A,7-8,sales.m,0
1987,A,8,quantity,0
1987,A,8,sales.m,0
1987,A,export,quantity,12
1987,A,export,sales.m,496
1978,B,1,quantity,5
1978,B,1,sales.m,60
1978,B,11,quantity,0
1978,B,11,sales.m,0
1978,B,12,quantity,6
1978,B,12,sales.m,30.834
1978,B,15,quantity,2522
1978,B,15,sales.m,2385.175
1978,B,16,quantity,15
1978,B,16,sales.m,30.7
1978,B,17,quantity,20
1978,B,17,sales.m,117.582
1978,B,2,quantity,312
1978,B,2,sales.m,342.363
1978,B,3,quantity,279
1978,B,3,sales.m,1567.69
1978,B,4-2,quantity,7
1978,B,4-2,sales.m,6.035
1978,B,4-3,quantity,183
1978,B,4-3,sales.m,538.262
1978,B,4-4,quantity,59
1978,B,4-4,sales.m,101.573
1978,B,5,quantity,2396
1978,B,5,sales.m,1758.346
1978,B,6,quantity,292
1978,B,6,sales.m,287.414
1978,B,7-1,quantity,0
1978,B,7-1,sales.m,0
1978,B,7-3,quantity,679
1978,B,7-3,sales.m,3117.863
1978,B,7-8,quantity,17
1978,B,7-8,sales.m,90.327
1978,B,8,quantity,7
1978,B,8,sales.m,106
1978,B,export,quantity,18
1978,B,export,sales.m,15.828
1979,B,1,quantity,6
1979,B,1,sales.m,100.63
1979,B,11,quantity,0
1979,B,11,sales.m,0
1979,B,12,quantity,1
1979,B,12,sales.m,2
1979,B,15,quantity,3408
1979,B,15,sales.m,3443.941
1979,B,16,quantity,8
1979,B,16,sales.m,6.38
1979,B,17,quantity,322
1979,B,17,sales.m,1072.019
1979,B,2,quantity,345
1979,B,2,sales.m,544.8
1979,B,3,quantity,294
1979,B,3,sales.m,1979.63
1979,B,4-2,quantity,2
1979,B,4-2,sales.m,19.7
1979,B,4-3,quantity,186
1979,B,4-3,sales.m,580.35
1979,B,4-4,quantity,64
1979,B,4-4,sales.m,153.002
1979,B,5,quantity,4053
1979,B,5,sales.m,2694.921
1979,B,6,quantity,365
1979,B,6,sales.m,390.45
1979,B,7-1,quantity,0
1979,B,7-1,sales.m,0
1979,B,7-3,quantity,1383
1979,B,7-3,sales.m,5874.363
1979,B,7-8,quantity,33
1979,B,7-8,sales.m,160.545
1979,B,8,quantity,0
1979,B,8,sales.m,0
1979,B,export,quantity,14
1979,B,export,sales.m,71.1
1980,B,1,quantity,4
1980,B,1,sales.m,62.24
1980,B,11,quantity,0
1980,B,11,sales.m,0
1980,B,12,quantity,4
1980,B,12,sales.m,93
1980,B,15,quantity,6841
1980,B,15,sales.m,5201.806
1980,B,16,quantity,7
1980,B,16,sales.m,183
1980,B,17,quantity,138
1980,B,17,sales.m,941.936
1980,B,2,quantity,487
1980,B,2,sales.m,2142.877
1980,B,3,quantity,332
1980,B,3,sales.m,1501.622
1980,B,4-2,quantity,24
1980,B,4-2,sales.m,72
1980,B,4-3,quantity,1543
1980,B,4-3,sales.m,2399.549
1980,B,4-4,quantity,31
1980,B,4-4,sales.m,100.408
1980,B,5,quantity,709
1980,B,5,sales.m,1874.601
1980,B,6,quantity,490
1980,B,6,sales.m,1465.515
1980,B,7-1,quantity,0
1980,B,7-1,sales.m,0
1980,B,7-3,quantity,1995
1980,B,7-3,sales.m,6341.866
1980,B,7-8,quantity,9
1980,B,7-8,sales.m,35.6
1980,B,8,quantity,0
1980,B,8,sales.m,0
1980,B,export,quantity,699
1980,B,export,sales.m,679.679
1981,B,1,quantity,6
1981,B,1,sales.m,75.8
1981,B,11,quantity,0
1981,B,11,sales.m,0
1981,B,12,quantity,0
1981,B,12,sales.m,0
1981,B,15,quantity,5522
1981,B,15,sales.m,3649.253
1981,B,16,quantity,6
1981,B,16,sales.m,72.484
1981,B,17,quantity,212
1981,B,17,sales.m,1940.854
1981,B,2,quantity,454
1981,B,2,sales.m,1267.038
1981,B,3,quantity,452
1981,B,3,sales.m,1484.64
1981,B,4-2,quantity,0
1981,B,4-2,sales.m,0
1981,B,4-3,quantity,2065
1981,B,4-3,sales.m,2909.351
1981,B,4-4,quantity,29
1981,B,4-4,sales.m,211.875
1981,B,5,quantity,1265
1981,B,5,sales.m,3212.741
1981,B,6,quantity,590
1981,B,6,sales.m,987.054
1981,B,7-1,quantity,1
1981,B,7-1,sales.m,40
1981,B,7-3,quantity,1646
1981,B,7-3,sales.m,6876.987
1981,B,7-8,quantity,26
1981,B,7-8,sales.m,62.4
1981,B,8,quantity,4
1981,B,8,sales.m,44.2
1981,B,export,quantity,322
1981,B,export,sales.m,414.5
1982,B,1,quantity,6
1982,B,1,sales.m,241.1
1982,B,11,quantity,0
1982,B,11,sales.m,0
1982,B,12,quantity,64
1982,B,12,sales.m,46.97
1982,B,15,quantity,3115
1982,B,15,sales.m,2794.311
1982,B,16,quantity,0
1982,B,16,sales.m,0
1982,B,17,quantity,81
1982,B,17,sales.m,193.174
1982,B,2,quantity,204
1982,B,2,sales.m,1054.964
1982,B,3,quantity,427
1982,B,3,sales.m,1616.747
1982,B,4-2,quantity,1
1982,B,4-2,sales.m,10.444
1982,B,4-3,quantity,739
1982,B,4-3,sales.m,1140.759
1982,B,4-4,quantity,36
1982,B,4-4,sales.m,221.511
1982,B,5,quantity,916
1982,B,5,sales.m,2842.798
1982,B,6,quantity,608
1982,B,6,sales.m,893.143
1982,B,7-1,quantity,2
1982,B,7-1,sales.m,50
1982,B,7-3,quantity,2114
1982,B,7-3,sales.m,7139.347
1982,B,7-8,quantity,21
1982,B,7-8,sales.m,51.184
1982,B,8,quantity,1
1982,B,8,sales.m,10
1982,B,export,quantity,296
1982,B,export,sales.m,247.311
