code_union,ind_union_eng,code_union_app,app_code_name_eng,year_5,quantity_sum,sales.m_sum,quantity_t_sum,sales_b_sum,q_indagg_sum,pq_indagg_sum,q_indagg_loo_sum,pq_indagg_loo_sum,quantity_mean,sales.m_mean,quantity_t_mean,sales_b_mean,q_indagg_mean,pq_indagg_mean,q_indagg_loo_mean,pq_indagg_loo_mean,unitval_m,p_indagg_loo
11,"Pulp, paper, printing, publishing",NA,TOTAL,2002,720,9676,0.72,9.676,343790,2404478,343070,2394802,144,1935.2,0.144,1.9352,68758,480895.6,68614,478960.4,13.438888888888888,6.980505436208354
11,"Pulp, paper, printing, publishing",NA,TOTAL,2007,953,8838,0.9530000000000001,8.838000000000001,503248,3194689,502295,3185851,190.6,1767.6,0.1906,1.7676,100649.6,638937.8,100459,637170.2,9.273871983210913,6.342589514130142
11,"Pulp, paper, printing, publishing",NA,TOTAL,2012,561,8964,0.561,8.964,464964,2632906,464403,2623942,112.2,1792.8,0.11220000000000001,1.7928,92992.8,526581.2,92880.6,524788.4,15.978609625668449,5.650140072307888
11,"Pulp, paper, printing, publishing",NA,TOTAL,2017,677,13457,0.677,13.457,812085,3378440,811408,3364983,135.4,2691.4,0.1354,2.6914,162417,675688,162281.6,672996.6,19.877400295420976,4.147091229073413
12,"Chemical, pharmaceuticals, cosmetics, etc.",110,110_Handling operations/Machine tending,1982,52,246.4,0.052,0.2464,43909,98180.761,43857,97934.361,10.4,49.28,0.0104,0.049280000000000004,8781.8,19636.1522,8771.4,19586.8722,4.7384615384615385,2.2330383063137016
12,"Chemical, pharmaceuticals, cosmetics, etc.",110,110_Handling operations/Machine tending,1987,537,6292.476,0.537,6.292476,68202,210002.384,67665,203709.908,107.4,1258.4952,0.1074,1.2584952,13640.4,42000.4768,13533,40741.9816,11.717832402234636,3.010565403088746
12,"Chemical, pharmaceuticals, cosmetics, etc.",110,110_Handling operations/Machine tending,1992,979,14614,0.979,14.613999999999999,109636,449058,108657,434444,195.8,2922.8,0.1958,2.9228,21927.2,89811.6,21731.4,86888.8,14.927477017364657,3.998306597826187
12,"Chemical, pharmaceuticals, cosmetics, etc.",110,110_Handling operations/Machine tending,1997,830,9771,0.8300000000000001,9.771,100915,432727,100085,422956,166,1954.2,0.166,1.9542,20183,86545.4,20017,84591.2,11.772289156626506,4.225967927261827
12,"Chemical, pharmaceuticals, cosmetics, etc.",110,110_Handling operations/Machine tending,2002,929,7335,0.929,7.335,102644,398857,101715,391522,185.8,1467,0.1858,1.467,20528.8,79771.4,20343,78304.4,7.895586652314316,3.849206115125596
12,"Chemical, pharmaceuticals, cosmetics, etc.",110,110_Handling operations/Machine tending,2007,837,7257,0.837,7.257,137477,427194,136640,419937,167.4,1451.4,0.1674,1.4514,27495.4,85438.8,27328,83987.4,8.670250896057349,3.073309426229508
12,"Chemical, pharmaceuticals, cosmetics, etc.",110,110_Handling operations/Machine tending,2012,1112,7062,1.1119999999999999,7.062,124647,395106,123535,388044,222.4,1412.4,0.2224,1.4124,24929.4,79021.2,24707,77608.8,6.350719424460432,3.141166471040596
