code_union,code_union_app,variable,value,year
7-1,190,sales.m,0,1979
7-1,200,quantity,0,1979
7-1,200,sales.m,0,1979
7-1,900,quantity,0,1979
7-1,900,sales.m,0,1979
7-3,110,quantity,392,1979
7-3,110,sales.m,4283.9,1979
7-3,160,quantity,473,1979
7-3,160,sales.m,4467.129,1979
7-3,170,quantity,13,1979
7-3,170,sales.m,300.3,1979
7-3,190,quantity,408,1979
7-3,190,sales.m,3211.669,1979
7-3,200,quantity,898,1979
7-3,200,sales.m,2281.762,1979
7-3,900,quantity,22,1979
7-3,900,sales.m,91.85,1979
7-8,110,quantity,23,1979
7-8,110,sales.m,121.14,1979
7-8,160,quantity,7,1979
7-8,160,sales.m,112.6,1979
7-8,170,quantity,0,1979
7-8,170,sales.m,4,1979
7-8,190,quantity,5,1979
7-8,190,sales.m,28.516,1979
7-8,200,quantity,7,1979
7-8,200,sales.m,39,1979
7-8,900,quantity,8,1979
7-8,900,sales.m,27.5,1979
8,110,quantity,1,1979
8,110,sales.m,8,1979
8,160,quantity,0,1979
8,160,sales.m,0,1979
8,170,quantity,0,1979
8,170,sales.m,0,1979
8,190,quantity,0,1979
8,190,sales.m,0,1979
8,200,quantity,0,1979
8,200,sales.m,0,1979
8,900,quantity,0,1979
8,900,sales.m,0,1979
export,110,quantity,3,1979
export,110,sales.m,127,1979
export,160,quantity,25,1979
export,160,sales.m,302.226,1979
export,170,quantity,3,1979
export,170,sales.m,38,1979
export,190,quantity,11,1979
export,190,sales.m,49.682,1979
export,200,quantity,225,1979
export,200,sales.m,140.876,1979
export,900,quantity,6,1979
export,900,sales.m,50.158,1979
1,110,quantity,17,1980
1,110,sales.m,457,1980
1,160,quantity,0,1980
1,160,sales.m,0,1980
1,170,quantity,0,1980
1,170,sales.m,0,1980
1,190,quantity,3,1980
1,190,sales.m,65,1980
1,200,quantity,12,1980
1,200,sales.m,9.85,1980
1,900,quantity,104,1980
1,900,sales.m,404.844,1980
11,110,quantity,1,1980
11,110,sales.m,8,1980
11,160,quantity,0,1980
11,160,sales.m,0,1980
11,170,quantity,0,1980
11,170,sales.m,0,1980
11,190,quantity,0,1980
11,190,sales.m,0,1980
11,200,quantity,0,1980
11,200,sales.m,0,1980
11,900,quantity,0,1980
11,900,sales.m,0,1980
12,110,quantity,1,1980
12,110,sales.m,10,1980
12,160,quantity,0,1980
12,160,sales.m,0,1980
12,170,quantity,1,1980
12,170,sales.m,13,1980
12,190,quantity,0,1980
12,190,sales.m,0,1980
12,200,quantity,1,1980
12,200,sales.m,11.5,1980
12,900,quantity,79,1980
12,900,sales.m,312.174,1980
15,110,quantity,7423,1980
15,110,sales.m,6719.009,1980
15,160,quantity,0,1980
15,160,sales.m,0,1980
15,170,quantity,49,1980
15,170,sales.m,543.2,1980
15,190,quantity,0,1980
15,190,sales.m,0,1980
15,200,quantity,0,1980
15,200,sales.m,0,1980
15,900,quantity,1,1980
15,900,sales.m,22.85,1980
16,110,quantity,0,1980
16,110,sales.m,0,1980
16,160,quantity,0,1980
16,160,sales.m,0,1980
16,170,quantity,1,1980
16,170,sales.m,10,1980
16,190,quantity,13,1980
16,190,sales.m,11,1980
16,200,quantity,4,1980
16,200,sales.m,154.753,1980
16,900,quantity,75,1980
16,900,sales.m,298.36,1980
17,110,quantity,127,1980
17,110,sales.m,571,1980
17,160,quantity,7,1980
17,160,sales.m,63,1980
17,170,quantity,3,1980
17,170,sales.m,33,1980
17,190,quantity,8,1980
17,190,sales.m,74,1980
17,200,quantity,7,1980
17,200,sales.m,24.1,1980
17,900,quantity,228,1980
17,900,sales.m,987.467,1980
2,110,quantity,555,1980
2,110,sales.m,2410.577,1980
2,160,quantity,0,1980
2,160,sales.m,0,1980
2,170,quantity,0,1980
2,170,sales.m,0,1980
2,190,quantity,0,1980
2,190,sales.m,0,1980
2,200,quantity,0,1980
2,200,sales.m,0,1980
2,900,quantity,16,1980
2,900,sales.m,152.2,1980
27,110,quantity,23,1980
27,110,sales.m,431.474,1980
27,160,quantity,0,1980
27,160,sales.m,0,1980
27,170,quantity,0,1980
27,170,sales.m,0,1980
27,190,quantity,0,1980
27,190,sales.m,0,1980
27,200,quantity,36,1980
27,200,sales.m,32.4,1980
27,900,quantity,3,1980
27,900,sales.m,84.82,1980
3,110,quantity,261,1980
3,110,sales.m,826.796,1980
3,160,quantity,178,1980
3,160,sales.m,1951.7,1980
3,170,quantity,4,1980
3,170,sales.m,42.8,1980
3,190,quantity,96,1980
3,190,sales.m,610.39,1980
3,200,quantity,0,1980
3,200,sales.m,0.205,1980
3,900,quantity,158,1980
3,900,sales.m,425.831,1980
4-2,110,quantity,0,1980
4-2,110,sales.m,0,1980
4-2,160,quantity,61,1980
4-2,160,sales.m,802.8,1980
4-2,170,quantity,0,1980
4-2,170,sales.m,0,1980
4-2,190,quantity,25,1980
4-2,190,sales.m,94,1980
4-2,200,quantity,0,1980
4-2,200,sales.m,0,1980
4-2,900,quantity,1,1980
4-2,900,sales.m,11.35,1980
4-3,110,quantity,103,1980
4-3,110,sales.m,602.598,1980
4-3,160,quantity,2,1980
4-3,160,sales.m,42,1980
4-3,170,quantity,0,1980
4-3,170,sales.m,0,1980
4-3,190,quantity,1527,1980
4-3,190,sales.m,2150.329,1980
4-3,200,quantity,195,1980
4-3,200,sales.m,104.68,1980
4-3,900,quantity,10,1980
4-3,900,sales.m,28.945,1980
4-4,110,quantity,11,1980
4-4,110,sales.m,367.066,1980
4-4,160,quantity,15,1980
4-4,160,sales.m,212.3,1980
4-4,170,quantity,0,1980
4-4,170,sales.m,0,1980
4-4,190,quantity,27,1980
4-4,190,sales.m,82.918,1980
4-4,200,quantity,98,1980
4-4,200,sales.m,50.932,1980
4-4,900,quantity,126,1980
4-4,900,sales.m,154.582,1980
5,110,quantity,328,1980
5,110,sales.m,1072.019,1980
5,160,quantity,112,1980
5,160,sales.m,1201.2,1980
5,170,quantity,34,1980
5,170,sales.m,325,1980
5,190,quantity,264,1980
5,190,sales.m,1175.195,1980
5,200,quantity,1335,1980
5,200,sales.m,22915.408,1980
5,900,quantity,234,1980
5,900,sales.m,760.329,1980
6,110,quantity,66,1980
6,110,sales.m,217.983,1980
6,160,quantity,0,1980
6,160,sales.m,0,1980
6,170,quantity,8,1980
6,170,sales.m,80,1980
6,190,quantity,105,1980
6,190,sales.m,821,1980
6,200,quantity,94,1980
6,200,sales.m,150,1980
6,900,quantity,275,1980
6,900,sales.m,444.082,1980
7-1,110,quantity,0,1980
7-1,110,sales.m,0,1980
7-1,160,quantity,0,1980
7-1,160,sales.m,0,1980
7-1,170,quantity,2,1980
7-1,170,sales.m,73.5,1980
7-1,190,quantity,0,1980
7-1,190,sales.m,0,1980
7-1,200,quantity,0,1980
7-1,200,sales.m,0,1980
7-1,900,quantity,0,1980
7-1,900,sales.m,0,1980
7-3,110,quantity,452,1980
7-3,110,sales.m,6789.37,1980
7-3,160,quantity,1149,1980
7-3,160,sales.m,8869.201,1980
7-3,170,quantity,26,1980
7-3,170,sales.m,430.5,1980
7-3,190,quantity,1075,1980
7-3,190,sales.m,4054.963,1980
7-3,200,quantity,644,1980
7-3,200,sales.m,1256.238,1980
7-3,900,quantity,254,1980
7-3,900,sales.m,849.733,1980
7-8,110,quantity,1,1980
7-8,110,sales.m,4,1980
7-8,160,quantity,57,1980
7-8,160,sales.m,175.029,1980
7-8,170,quantity,0,1980
7-8,170,sales.m,0,1980
7-8,190,quantity,5,1980
7-8,190,sales.m,38.6,1980
7-8,200,quantity,5,1980
7-8,200,sales.m,3,1980
7-8,900,quantity,2,1980
7-8,900,sales.m,18,1980
8,110,quantity,3,1980
8,110,sales.m,30.036,1980
8,160,quantity,0,1980
8,160,sales.m,0,1980
8,170,quantity,0,1980
8,170,sales.m,0,1980
8,190,quantity,0,1980
8,190,sales.m,0,1980
8,200,quantity,0,1980
8,200,sales.m,0,1980
8,900,quantity,0,1980
8,900,sales.m,0,1980
export,110,quantity,355,1980
export,110,sales.m,209.35,1980
export,160,quantity,36,1980
export,160,sales.m,520,1980
export,170,quantity,10,1980
export,170,sales.m,110.1,1980
export,190,quantity,56,1980
export,190,sales.m,216.375,1980
export,200,quantity,418,1980
export,200,sales.m,254.723,1980
export,900,quantity,295,1980
export,900,sales.m,660.056,1980
1,110,quantity,24,1981
1,110,sales.m,1058.74,1981
1,160,quantity,1,1981
1,160,sales.m,10,1981
1,170,quantity,0,1981
1,170,sales.m,0,1981
1,190,quantity,1,1981
1,190,sales.m,0.65,1981
1,200,quantity,2,1981
1,200,sales.m,1.11,1981
1,900,quantity,130,1981
1,900,sales.m,676.911,1981
11,110,quantity,1,1981
11,110,sales.m,6,1981
11,160,quantity,0,1981
11,160,sales.m,0,1981
11,170,quantity,0,1981
11,170,sales.m,0,1981
11,190,quantity,0,1981
11,190,sales.m,0,1981
11,200,quantity,0,1981
11,200,sales.m,0,1981
11,900,quantity,0,1981
11,900,sales.m,0,1981
12,110,quantity,2,1981
12,110,sales.m,20,1981
12,160,quantity,0,1981
12,160,sales.m,0,1981
12,170,quantity,0,1981
12,170,sales.m,0,1981
12,190,quantity,0,1981
12,190,sales.m,0,1981
12,200,quantity,0,1981
12,200,sales.m,0,1981
12,900,quantity,42,1981
12,900,sales.m,225.398,1981
15,110,quantity,7120,1981
15,110,sales.m,8515.562,1981
15,160,quantity,0,1981
15,160,sales.m,0,1981
15,170,quantity,120,1981
15,170,sales.m,1304.4,1981
15,190,quantity,0,1981
15,190,sales.m,0,1981
15,200,quantity,0,1981
15,200,sales.m,0,1981
15,900,quantity,16,1981
15,900,sales.m,91.26,1981
16,110,quantity,4,1981
16,110,sales.m,34.245,1981
16,160,quantity,0,1981
16,160,sales.m,0,1981
16,170,quantity,2,1981
16,170,sales.m,20,1981
16,190,quantity,0,1981
16,190,sales.m,0,1981
16,200,quantity,0,1981
16,200,sales.m,0,1981
16,900,quantity,57,1981
16,900,sales.m,339.804,1981
17,110,quantity,112,1981
17,110,sales.m,341.284,1981
17,160,quantity,2,1981
17,160,sales.m,11,1981
17,170,quantity,33,1981
17,170,sales.m,339.2,1981
17,190,quantity,12,1981
17,190,sales.m,63.95,1981
17,200,quantity,1,1981
17,200,sales.m,8.5,1981
17,900,quantity,129,1981
17,900,sales.m,1993.75,1981
2,110,quantity,509,1981
2,110,sales.m,1566.726,1981
2,160,quantity,0,1981
2,160,sales.m,0,1981
2,170,quantity,1,1981
2,170,sales.m,3.9,1981
2,190,quantity,0,1981
2,190,sales.m,0,1981
2,200,quantity,4,1981
2,200,sales.m,9.728,1981
2,900,quantity,30,1981
2,900,sales.m,127,1981
27,110,quantity,11,1981
27,110,sales.m,83.8,1981
27,160,quantity,1,1981
27,160,sales.m,6.5,1981
27,170,quantity,3,1981
27,170,sales.m,30,1981
27,190,quantity,0,1981
27,190,sales.m,0,1981
27,200,quantity,0,1981
27,200,sales.m,0,1981
27,900,quantity,19,1981
27,900,sales.m,114.58,1981
3,110,quantity,326,1981
3,110,sales.m,999.025,1981
3,160,quantity,233,1981
3,160,sales.m,2317.348,1981
3,170,quantity,26,1981
3,170,sales.m,327.54,1981
3,190,quantity,177,1981
3,190,sales.m,786.749,1981
3,200,quantity,14,1981
3,200,sales.m,3.143,1981
3,900,quantity,59,1981
3,900,sales.m,775.39,1981
4-2,110,quantity,0,1981
4-2,110,sales.m,0,1981
4-2,160,quantity,90,1981
4-2,160,sales.m,1257.38,1981
4-2,170,quantity,4,1981
4-2,170,sales.m,69,1981
4-2,190,quantity,25,1981
4-2,190,sales.m,75,1981
4-2,200,quantity,0,1981
4-2,200,sales.m,0,1981
4-2,900,quantity,0,1981
4-2,900,sales.m,0,1981
4-3,110,quantity,85,1981
4-3,110,sales.m,1687.16,1981
4-3,160,quantity,171,1981
4-3,160,sales.m,1741.4,1981
4-3,170,quantity,0,1981
4-3,170,sales.m,0,1981
4-3,190,quantity,2059,1981
4-3,190,sales.m,2801.872,1981
4-3,200,quantity,11,1981
4-3,200,sales.m,88.174,1981
4-3,900,quantity,37,1981
4-3,900,sales.m,308.36,1981
4-4,110,quantity,1,1981
4-4,110,sales.m,4.642,1981
4-4,160,quantity,49,1981
4-4,160,sales.m,510.72,1981
4-4,170,quantity,10,1981
4-4,170,sales.m,170,1981
4-4,190,quantity,31,1981
4-4,190,sales.m,126.083,1981
4-4,200,quantity,24,1981
4-4,200,sales.m,23.697,1981
4-4,900,quantity,130,1981
4-4,900,sales.m,340.584,1981
5,110,quantity,569,1981
5,110,sales.m,2508.009,1981
5,160,quantity,60,1981
5,160,sales.m,576.86,1981
5,170,quantity,44,1981
5,170,sales.m,415.165,1981
5,190,quantity,629,1981
5,190,sales.m,2824.783,1981
5,200,quantity,2085,1981
5,200,sales.m,24879.804,1981
5,900,quantity,301,1981
5,900,sales.m,1900.208,1981
6,110,quantity,103,1981
6,110,sales.m,233.5,1981
6,160,quantity,0,1981
6,160,sales.m,0,1981
6,170,quantity,15,1981
6,170,sales.m,90,1981
6,190,quantity,112,1981
6,190,sales.m,354.95,1981
6,200,quantity,151,1981
6,200,sales.m,262.566,1981
6,900,quantity,284,1981
6,900,sales.m,460.661,1981
7-1,110,quantity,1,1981
7-1,110,sales.m,40,1981
7-1,160,quantity,1,1981
7-1,160,sales.m,9,1981
7-1,170,quantity,1,1981
7-1,170,sales.m,13.5,1981
7-1,190,quantity,0,1981
7-1,190,sales.m,0,1981
7-1,200,quantity,0,1981
7-1,200,sales.m,0,1981
7-1,900,quantity,0,1981
7-1,900,sales.m,0,1981
7-3,110,quantity,737,1981
7-3,110,sales.m,6564.424,1981
7-3,160,quantity,1651,1981
7-3,160,sales.m,15652.595,1981
7-3,170,quantity,95,1981
7-3,170,sales.m,1420.979,1981
7-3,190,quantity,1030,1981
7-3,190,sales.m,4734.648,1981
7-3,200,quantity,349,1981
7-3,200,sales.m,1795.894,1981
7-3,900,quantity,118,1981
